"nbAct";"listAct";"crew_id"
9;"[20180805AF7731NTECDG01,20180806AF1443GVACDG01,20180806AF1815ZRHCDG01,20180807AF1615ZRHCDG01,20180805AF7730CDGNTE01,20180807AF1238CDGVIE01,20180807AF1239VIECDG01,20180806AF1814CDGZRH01,20180805AF1242CDGGVA01]";"crew107"
1;"[20180806AF1822CDGMUC01]";"crew108"
7;"[20180808AF7689MPLCDG01,20180808AF7681MPLCDG01,20180808AF7688CDGMPL01,20180808AF1726CDGVCE01,20180809AF1426CDGVCE01,20180809AF1427VCECDG01,20180809AF1327VCECDG01]";"crew109"
5;"[20180808AF7683MPLCDG01,20180809AF1023MUCCDG01,20180807AF7684CDGMPL01,20180809AF1727VCECDG01,20180809AF1022CDGMUC01]";"crew110"
3;"[20180810AF1723MUCCDG01,20180810AF1123MUCCDG01,20180810AF1722CDGMUC01]";"crew111"
7;"[20180809AF7681MPLCDG01,20180809AF1643GVACDG01,20180810AF1151CPHCDG01,20180810AF1327VCECDG01,20180809AF1726CDGVCE01,20180810AF1150CDGCPH01,20180809AF1642CDGGVA01]";"crew112"
9;"[20180810AF1101MADCDG01,20180809AF7683MPLCDG01,20180810AF1711HAMCDG01,20180808AF1253BGOCDG01,20180809AF7733BESCDG01,20180808AF1252CDGBGO01,20180808AF7684CDGMPL01,20180810AF1100CDGMAD01,20180809AF7738CDGBES01]";"crew113"
5;"[20180810AF7715NCECDG01,20180810AF1533ATHCDG01,20180809AF1329BLQCDG01,20180810AF7708CDGNCE01,20180809AF1032CDGATH01]";"crew114"
6;"[20180811AF1354CDGALG01,20180811AF1597CMNCDG01,20180812AF1855ALGCDG01,20180810AF1496CDGCMN01,20180810AF1379NAPCDG01,20180810AF1378CDGNAP01]";"crew115"
4;"[20180812AF1029BLQCDG01,20180810AF1801MADCDG01,20180810AF1800CDGMAD01,20180810AF1028CDGBLQ01]";"crew116"
2;"[20180811AF1465LEDCDG01,20180810AF1664CDGLED01]";"crew117"
1;"[20180805AF1463ARNCDG01]";"crew118"
4;"[20180807AF1089OTPCDG01,20180808AF1355ALGCDG01,20180807AF1854CDGALG01,20180806AF1888CDGOTP01]";"crew119"
4;"[20180808AF1089OTPCDG01,20180809AF1355ALGCDG01,20180808AF1854CDGALG01,20180807AF1888CDGOTP01]";"crew120"
4;"[20180809AF1044CDGSVO01,20180809AF1665LEDCDG01,20180810AF1145SVOCDG01,20180808AF1464CDGLED01]";"crew121"
6;"[20180807AF1023MUCCDG01,20180807AF1533ATHCDG01,20180805AF1144CDGSVO01,20180806AF1045SVOCDG01,20180807AF1022CDGMUC01,20180806AF1032CDGATH01]";"crew122"
3;"[20180805AF1284CDGTUN01,20180805AF1381LHRCDG01,20180805AF1285TUNCDG01]";"crew123"
3;"[20180805AF1281LHRCDG01,20180805AF1855ALGCDG01,20180805AF1280CDGLHR01]";"crew124"
3;"[20180805AF7683MPLCDG01,20180805AF1239VIECDG01,20180805AF1238CDGVIE01]";"crew125"
5;"[20180806AF1123MUCCDG01,20180805AF1089OTPCDG01,20180806AF1284CDGTUN01,20180806AF1285TUNCDG01,20180805AF1722CDGMUC01]";"crew126"
4;"[20180806AF1101MADCDG01,20180806AF1711HAMCDG01,20180805AF1329BLQCDG01,20180806AF1100CDGMAD01]";"crew127"
6;"[20180806AF1511HAMCDG01,20180805AF1465LEDCDG01,20180806AF1581LHRCDG01,20180806AF1510CDGHAM01,20180804AF1664CDGLED01,20180805AF1180CDGLHR01]";"crew128"
7;"[20180807AF1741AMSCDG01,20180807AF1359RBACDG01,20180806AF1359RBACDG01,20180805AF1359RBACDG01,20180807AF1740CDGAMS01,20180805AF1258CDGRBA01,20180806AF1258CDGRBA01]";"crew129"
6;"[20180807AF1081LHRCDG01,20180807AF1044CDGSVO01,20180805AF1854CDGALG01,20180806AF1355ALGCDG01,20180808AF1845SVOCDG01,20180806AF1580CDGLHR01]";"crew130"
6;"[20180811AF1081LHRCDG01,20180811AF1044CDGSVO01,20180809AF1854CDGALG01,20180810AF1355ALGCDG01,20180812AF1845SVOCDG01,20180810AF1580CDGLHR01]";"crew131"
9;"[20180806AF7649LYSCDG01,20180807AF7739BESCDG01,20180807AF1346CDGWAW01,20180808AF1426CDGVCE01,20180806AF1727VCECDG01,20180808AF1427VCECDG01,20180808AF1247WAWCDG01,20180806AF7646CDGLYS01,20180806AF7732CDGBES01]";"crew132"
11;"[20180806AF7683MPLCDG01,20180807AF1341AMSCDG01,20180805AF1141AMSCDG01,20180808AF1151CPHCDG01,20180807AF7737BESCDG01,20180805AF7684CDGMPL01,20180807AF1726CDGVCE01,20180808AF1327VCECDG01,20180807AF1340CDGAMS01,20180805AF1140CDGAMS01,20180808AF1150CDGCPH01]";"crew133"
4;"[20180809AF1723MUCCDG01,20180808AF1511HAMCDG01,20180807AF1347WAWCDG01,20180808AF1122CDGMUC01]";"crew134"
8;"[20180809AF1465LEDCDG01,20180809AF7685MPLCDG01,20180808AF1889OTPCDG01,20180806AF1144CDGSVO01,20180809AF7686CDGMPL01,20180808AF1664CDGLED01,20180807AF1045SVOCDG01,20180807AF1088CDGOTP01]";"crew135"
8;"[20180810AF1144CDGSVO01,20180809AF1144CDGSVO01,20180812AF1312CDGLIN01,20180812AF1889OTPCDG01,20180812AF1313LINCDG01,20180810AF1045SVOCDG01,20180811AF1045SVOCDG01,20180811AF1088CDGOTP01]";"crew136"
3;"[20180811AF7689MPLCDG01,20180811AF7681MPLCDG01,20180809AF7684CDGMPL01]";"crew137"
1;"[20180810AF1532CDGATH01]";"crew138"
3;"[20180811AF1089OTPCDG01,20180811AF1854CDGALG01,20180810AF1888CDGOTP01]";"crew139"
4;"[20180809AF7713NCECDG01,20180809AF1423MUCCDG01,20180809AF7710CDGNCE01,20180809AF1422CDGMUC01]";"crew140"
2;"[20180805AF1084CDGTUN01,20180805AF1085TUNCDG01]";"crew141"
